위도,경도,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,pressure_msl_mean,soil_temperature_0_to_7cm_mean
37.3682,126.8124,2025-03-28,3.0,10.9,2.1,5.9,5.4,-3.1,0.4,0.0,0.0,0.0,0.0,7.07,15.5,321.0,21.54,3.64,44823.01,37506.61,42.0,66.0,18.0,-7.2,0.4,-13.6,1014.2,8.3
37.3682,126.8124,2026-02-09,3.0,1.5,-10.8,-4.9,-2.5,-15.5,-9.0,0.0,0.0,0.0,0.0,3.0,7.2,260.0,13.63,1.27,38187.67,36118.33,58.0,89.0,40.0,-12.2,-5.7,-17.8,1029.3,-2.3
37.3713,127.2464,2025-02-10,71.0,-0.3,-10.9,-6.5,-5.2,-14.7,-10.5,0.2,0.0,0.14,2.0,3.78,9.3,275.0,7.91,0.7,38347.4,19794.25,73.0,86.0,61.0,-10.6,-5.9,-14.2,1027.5,-5.3
37.3713,127.2464,2025-05-03,55.0,13.4,8.3,10.5,10.7,5.7,8.7,6.1,6.1,0.0,14.0,5.14,10.8,279.0,8.52,1.43,49698.65,5388.73,84.0,97.0,63.0,7.8,9.0,4.5,1009.0,11.4
37.373,126.791,2025-02-01,3.0,4.3,-3.3,-0.3,0.7,-7.1,-4.0,0.0,0.0,0.0,0.0,2.44,4.8,5.0,12.12,1.18,37232.61,31132.05,78.0,94.0,54.0,-3.9,-1.1,-6.7,1022.7,-0.1
37.373,126.791,2025-07-20,65.0,30.0,23.1,26.5,34.4,27.0,30.8,24.9,24.9,0.0,14.0,5.55,11.7,209.0,22.2,4.38,51774.83,41191.09,87.0,99.0,68.0,23.9,24.8,23.0,1011.9,25.8
37.3746,126.7334,2024-05-03,2.0,24.3,10.0,16.3,24.0,8.4,15.3,0.0,0.0,0.0,0.0,5.06,9.9,251.0,25.51,4.71,49740.25,46800.0,64.0,93.0,34.0,8.5,10.2,6.8,1018.6,18.4
37.3746,126.7334,2024-09-26,51.0,26.1,18.6,21.7,29.6,20.5,24.2,0.4,0.4,0.0,4.0,3.72,7.4,327.0,16.61,3.09,43185.17,39600.0,85.0,98.0,66.0,19.0,19.8,18.2,1013.5,23.1
37.3746,126.7334,2025-08-07,2.0,29.4,24.4,26.7,34.6,28.5,31.1,0.0,0.0,0.0,0.0,3.68,8.7,288.0,24.3,4.83,49974.29,46800.0,82.0,95.0,65.0,23.1,24.7,22.0,1002.5,27.1
37.375,127.873,2023-01-06,71.0,4.1,-5.6,-1.5,0.0,-9.7,-5.4,0.2,0.0,0.14,1.0,2.3,6.2,140.0,9.98,1.07,34909.05,32400.0,62.0,74.0,43.0,-8.1,-5.8,-10.3,1023.9,-0.7
37.375,127.873,2024-04-02,3.0,22.4,4.7,14.0,21.1,1.5,11.8,0.0,0.0,0.0,0.0,2.19,5.5,122.0,21.28,3.84,45574.57,38321.53,44.0,79.0,26.0,1.3,9.8,-5.7,1013.6,11.5
