temperature_2m_min,temperature_2m_max,precipitation_sum,snowfall_sum,rain_sum,wind_speed_10m_max,relative_humidity_2m_mean,soil_temperature_0_to_7cm_mean,평수,실평수,진열평수,창고,계약면적(㎡),매장인원,입고도우미PO,일평균매출,일평균물동량,형태,매장명,지역,위도,경도,매장,발생일시,incident_id,label
1.7,9.1,0.0,0.0,0.0,22.1,73,1.4,313.0,300.0,285.0,13.0,1455.33,9.2,0.5,10020642.857142856,200.0,직영점,대전도마2호점,대전팀,36.3164,127.3783,10841.0,2024-12-30,NEG-10841.0-2024-12-30,0
-2.9,3.8,0.0,0.0,0.0,21.7,49,2.1,313.0,300.0,285.0,13.0,1455.33,9.2,0.5,10020642.857142856,200.0,직영점,대전도마2호점,대전팀,36.3164,127.3783,10841.0,2025-02-17,NEG-10841.0-2025-02-17,0
-1.9,8.1,0.0,0.0,0.0,9.3,64,0.7,313.0,300.0,285.0,13.0,1455.33,9.2,0.5,10020642.857142856,200.0,직영점,대전도마2호점,대전팀,36.3164,127.3783,10841.0,2025-01-19,NEG-10841.0-2025-01-19,0
20.7,30.3,2.5,0.0,2.5,16.6,76,25.9,300.0,280.0,265.0,20.0,1131.62,10.4,0.7,9590892.857142856,192.0,직영점,안성옥산점,평택팀,37.0124,127.2491,10844.0,2025-06-08,NEG-10844.0-2025-06-08,0
17.7,25.0,22.0,0.0,22.0,18.4,92,19.7,300.0,280.0,265.0,20.0,1131.62,10.4,0.7,9590892.857142856,192.0,직영점,안성옥산점,평택팀,37.0124,127.2491,10844.0,2025-05-16,NEG-10844.0-2025-05-16,0
5.5,18.1,0.6,0.0,0.6,15.7,72,12.1,300.0,280.0,265.0,20.0,1131.62,10.4,0.7,9590892.857142856,192.0,직영점,안성옥산점,평택팀,37.0124,127.2491,10844.0,2025-04-10,NEG-10844.0-2025-04-10,0
-3.4,4.5,0.6,0.42,0.0,7.1,74,0.8,489.2,448.6,419.6,40.6,1652.92,7.9,0.5,9505321.42857143,190.0,직영점,김천부곡점,경북팀,36.1241,128.1018,10846.0,2025-01-05,NEG-10846.0-2025-01-05,0
-5.6,-0.0,0.0,0.0,0.0,25.1,61,1.2,489.2,448.6,419.6,40.6,1652.92,7.9,0.5,9505321.42857143,190.0,직영점,김천부곡점,경북팀,36.1241,128.1018,10846.0,2024-12-28,NEG-10846.0-2024-12-28,0
-2.5,7.0,0.1,0.0,0.1,19.4,62,1.1,489.2,448.6,419.6,40.6,1652.92,7.9,0.5,9505321.42857143,190.0,직영점,김천부곡점,경북팀,36.1241,128.1018,10846.0,2024-12-20,NEG-10846.0-2024-12-20,0
-0.8,7.7,0.0,0.0,0.0,17.1,64,6.3,340.0,280.0,258.0,60.0,1119.7,10.6,0.8,12530196.42857143,251.0,직영점,울산신천점,울산팀,35.638,129.3473,10848.0,2024-02-16,NEG-10848.0-2024-02-16,0
15.4,19.1,15.0,0.0,15.0,25.7,87,16.4,340.0,280.0,258.0,60.0,1119.7,10.6,0.8,12530196.42857143,251.0,직영점,울산신천점,울산팀,35.638,129.3473,10848.0,2024-05-05,NEG-10848.0-2024-05-05,0
9.1,25.1,0.0,0.0,0.0,11.0,75,17.1,340.0,280.0,258.0,60.0,1119.7,10.6,0.8,12530196.42857143,251.0,직영점,울산신천점,울산팀,35.638,129.3473,10848.0,2024-04-27,NEG-10848.0-2024-04-27,0
0.2,10.7,0.0,0.0,0.0,24.3,67,1.7,353.0,306.0,277.0,47.0,1411.52,8.3,0.8,10755517.857142856,215.0,직영점,양산터미널점,동부산팀,35.3352,129.0273,10850.0,2024-12-30,NEG-10850.0-2024-12-30,0
2.0,7.7,0.0,0.0,0.0,18.5,71,4.5,353.0,306.0,277.0,47.0,1411.52,8.3,0.8,10755517.857142856,215.0,직영점,양산터미널점,동부산팀,35.3352,129.0273,10850.0,2025-01-26,NEG-10850.0-2025-01-26,0
